PPC Dashboard Leads Data updated till 31st-July-26,,,,,Total,,,July' 2026,,,June' 2026,,,May' 2026,,,Apr' 2026,,,Mar' 2026,,,Feb' 2026,,,Jan' 2026,,,Dec' 2025,,,Nov' 2025,,,Oct' 2025,,,Sep' 2025,,,Aug' 2025,,,July' 2025,,,June' 2025,,,May' 2025,,,Apr' 2025,,,Mar' 2025,,,Feb' 2025,,,Jan' 2025,,,Dec' 2024,,,Nov' 2024,,,Oct' 2024,,,Sep' 2024,,,Aug' 2024,,,July' 2024,,,June' 2024,,,May' 2024,,,Apr' 2024,,,Mar' 2024,,,Feb' 2024,,,Jan' 2024,,,Dec' 2023,,,Nov' 2023,,,Oct' 2023,,,Sep' 2023,,,Aug' 2023,,,Jul' 2023,,,Jun' 2023,,,May' 2023,,,April' 2023,,,,,,February' 2023,,,January' 2023,,,December' 2022,,,November' 2022,,,October' 2022,,,September' 2022,,,August' 2022,,,July' 2022,,,June' 2022,,,,,June' 2022,,
S.No,Page Name,URL,Writer,Designer,Session,Conversion Goals,Conversion Rate (%),Session,Conversion Goals,Conversion Rate (%),Session,Conversion Goals,Conversion Rate (%),Session,Conversion Goals,Conversion Rate (%),Session,Conversion Goals,Conversion Rate (%),Session,Conversion Goals,Conversion Rate (%),Session,Conversion Goals,Conversion Rate (%),Session,Conversion Goals,Conversion Rate (%),Session,Conversion Goals,Conversion Rate (%),Session,Conversion Goals,Conversion Rate (%),Session,Conversion Goals,Conversion Rate (%),Session,Conversion Goals,Conversion Rate (%),Session,Conversion Goals,Conversion Rate (%),Session,Conversion Goals,Conversion Rate (%),Session,Conversion Goals,Conversion Rate (%),Session,Conversion Goals,Conversion Rate (%),Session,Conversion Goals,Conversion Rate (%),Session,Conversion Goals,Conversion Rate (%),Session,Conversion Goals,Conversion Rate (%),Session,Conversion Goals,Conversion Rate (%),Session,Conversion Goals,Conversion Rate (%),Session,Conversion Goals,Conversion Rate (%),Session,Conversion Goals,Conversion Rate (%),Session,Conversion Goals,Conversion Rate (%),Session,Conversion Goals,Conversion Rate (%),Session,Conversion Goals,Conversion Rate (%),Session,Conversion Goals,Conversion Rate (%),Session,Conversion Goals,Conversion Rate (%),Session,Conversion Goals,Conversion Rate (%),Session,Conversion Goals,Conversion Rate (%),Session,Conversion Goals,Conversion Rate (%),Session,Conversion Goals,Conversion Rate (%),Session,Conversion Goals,Conversion Rate (%),Session,Conversion Goals,Conversion Rate (%),Session,Conversion Goals,Conversion Rate (%),Session,Conversion Goals,Conversion Rate (%),Session,Conversion Goals,Conversion Rate (%),Session,Conversion Goals,Conversion Rate (%),Session,Conversion Goals,Conversion Rate (%),Session,Conversion Goals,Conversion Rate (%),Session,Conversion Goals,Conversion Rate (%),Session,Conversion Goals,Conversion Rate (%),Session,Conversion Goals,Conversion Rate (%),Session,Conversion Goals,Conversion Rate (%),Session,Conversion Goals,Conversion Rate (%),Session,Conversion Goals,Conversion Rate (%),Session,Conversion Goals,Conversion Rate (%),Session,Conversion Goals,Conversion Rate (%),Session,Conversion Goals,Conversion Rate (%),Session,Conversion Goals,Conversion Rate (%),Session,Goals,Conversion %,Conversion Goals,Conversion Rate (%),Session,Goals,Conversion %
1,VA Original (Variant B),https://www.virtualemployee.com/lp/hire-virtual-assistants-b/,Irfan,Mukhteshwar,28165,443,1.57%,2,0,0.00%,3,0,0.00%,2,0,,24,0,0.00%,182,0,0.00%,115,0,0.00%,10,0,0.00%,71,0,0.00%,2,0,0.00%,47,0,0.00%,1,0,0.00%,0,0,,3,0,0.00%,2,0,0.00%,0,0,,3,0,0.00%,3,0,0.00%,3,0,0.00%,1,0,0.00%,3,0,0.00%,2,0,0.00%,3,0,0.00%,3,0,0.00%,0,0,,2,0,0.00%,2,0,0.00%,2,0,0.00%,3,0,0.00%,1,0,0.00%,4,0,0.00%,4,0,0.00%,2,0,0.00%,2,0,0.00%,0,0,,0,0,,0,0,,1,0,0.00%,3,0,0.00%,4,0,0.00%,374,700.00%,1.87%,2646,5500.00%,2.08%,1121,2700.00%,2.41%,1580,3400.00%,2.15%,1598,2000.00%,1.25%,2195,2000.00%,0.91%,4329,5400.00%,1.25%,3166,3000.00%,0.95%,2180,2200.00%,1.01%,2462,3200.00%,1.30%,3063,5500.00%,1.80%,32,177777.78%,3063,55,1.80%
2,Hire SMM Expert Mobile version,https://www.virtualemployee.com/ir/hire-smm-experts-mobile/,Wasi,Sanjay,13508,404,2.99%,1,0,0.00%,0,0,,1,0,,0,0,,1,0,0.00%,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,1,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,0.00%,0,0,,1,0,0.00%,0,0,,0,0,,0,0,,1,0,0.00%,0,0,,0,0,,2,0.00%,0.00%,2,0.00%,0.00%,1,0.00%,0.00%,4,0.00%,0.00%,138,600.00%,4.35%,2238,4200.00%,1.88%,3671,9100.00%,2.48%,2284,5700.00%,2.50%,2841,9200.00%,3.24%,1578,4600.00%,2.92%,372,1200.00%,3.23%,46,142414.86%,372,12,3.23%
3,hire-digital-marketing-experts Mobile Version,https://www.virtualemployee.com/da/hire-digital-marketing-expert-mobile/,Koyel,Nabil,8440,133,1.58%,0,0,,6,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,2,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,0.00%,0,0,,0,0,,0,0.00%,,0,0.00%,,2,0.00%,0.00%,0,0.00%,,197,300.00%,1.52%,1796,2900.00%,1.61%,1812,2800.00%,1.55%,1401,2100.00%,1.50%,1058,1400.00%,1.32%,1078,1600.00%,1.48%,546,300.00%,0.55%,16,290909.09%,546,3,0.55%
4,Web Developer Optimized (Mobile Version),https://www.virtualemployee.com/lp/hire-web-developer-optimized/m/,Daya,Mukhteshwar,9775,304,3.11%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,3,0,0.00%,1,0,0.00%,3,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,0.00%,1,0,0.00%,1,0,0.00%,0,0,,0,0,,0,0,,2,0,0.00%,1,0,0.00%,0,0,,1,0,0.00%,1,0,0.00%,0,0,,0,0,,0,0,,4,0,0.00%,0,0,,2,0,0.00%,0,0,,0,0,,0,0,,1,0,0.00%,1,0,0.00%,1,0,0.00%,142,500.00%,3.52%,961,1600.00%,1.66%,392,800.00%,2.04%,3,0.00%,0.00%,13,0.00%,0.00%,2275,9400.00%,4.13%,1875,8000.00%,4.27%,1131,3600.00%,3.18%,892,2100.00%,2.35%,559,1600.00%,2.86%,757,600.00%,0.79%,16,202531.65%,757,6,0.79%
5,Outource to India-d (Mobile Version),https://www.virtualemployee.com/lp/outsource-to-india-optimized-d/m/,Daya,Mukhteshwar,25355,413,1.63%,1810,27,1.49%,1733,28,1.62%,1249,10,0.80%,1553,45,2.90%,5689,27,0.47%,1904,29,1.52%,2300,48,2.09%,1856,35,0.00%,1831,46,2.51%,2186,59,2.70%,2441,68,2.79%,1111,25,2.25%,0,0,,1,0,0.00%,0,0,,0,0,,1,0,0.00%,1,0,0.00%,2,0,0.00%,0,0,,0,0,,2,0,0.00%,2,0,0.00%,0,0,,1,0,0.00%,0,0,,1,0,0.00%,0,0,,0,0,,1,0,0.00%,1,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,2,0,0.00%,5,0,0.00%,2,0.00%,0.00%,4,0.00%,0.00%,84,100.00%,1.19%,4,0.00%,0.00%,680,1000.00%,1.47%,3117,3400.00%,1.09%,927,2400.00%,2.59%,731,1800.00%,2.46%,619,800.00%,1.29%,553,400.00%,0.72%,1055,2200.00%,2.09%,4,19138.76%,1055,22,2.09%
6,Hire Virtual Assistant (Mobile Version),https://www.virtualemployee.com/lp/hire-virtual-assistant/m/,Irfan,Mukhteshwar,11301,285,2.52%,0,0,,0,0,,0,0,,0,0,,2,0,0.00%,0,0,,0,0,,0,0,0.00%,1,0,0.00%,0,0,,3,0,0.00%,0,0,,0,0,,0,0,,2,0,0.00%,1,0,0.00%,1,0,0.00%,1,0,0.00%,3,0,0.00%,0,0,,2,0,0.00%,1,0,0.00%,3,0,0.00%,3,0,0.00%,1,0,0.00%,1,0,0.00%,1,0,0.00%,0,0,,0,0,,0,0,,3,0,0.00%,1,0,0.00%,1,0,0.00%,0,0,,0,0,,0,0,,0,0,,1,0,0.00%,2,0,0.00%,5,0.00%,0.00%,412,400.00%,0.97%,724,2300.00%,3.18%,932,4200.00%,4.51%,1059,2500.00%,2.36%,1391,5000.00%,3.59%,899,2500.00%,2.78%,975,1900.00%,1.95%,1169,1300.00%,1.11%,959,1400.00%,1.46%,1374,2800.00%,2.04%,14,68627.45%,1374,28,2.04%
7,outsource-to-india-optimized-d,https://www.virtualemployee.com/lp/outsource-to-india-optimized-d/,Daya,Mukhteshwar,62330,2073,3.33%,1331,22,1.65%,1124,29,2.58%,641,13,2.03%,1283,30,2.34%,3711,43,1.16%,1322,37,2.80%,1404,53,3.77%,1270,36,0.00%,1247,61,4.89%,1333,56,4.20%,1378,57,4.14%,1351,77,5.70%,716,36,5.03%,483,22,4.55%,2032,102,5.02%,2222,111,5.00%,2597,80,3.08%,2102,70,3.33%,1775,85,4.79%,894,16,1.79%,928,45,4.85%,1008,37,3.67%,2018,72,3.57%,2273,60,2.64%,2833,75,2.65%,1216,42,3.45%,652,19,2.91%,955,17,1.78%,1360,43,3.16%,1782,82,4.60%,1913,110,5.75%,1242,52,4.19%,949,46,4.85%,984,55,5.59%,1080,39,3.61%,1584,76,4.80%,1102,31,2.81%,1262,59,4.68%,1483,54,3.64%,915,2300.00%,2.51%,822,1800.00%,2.19%,696,800.00%,1.15%,880,2500.00%,2.84%,1283,1500.00%,1.17%,1361,2200.00%,1.62%,857,1600.00%,1.87%,755,1200.00%,1.59%,691,900.00%,1.30%,835,2000.00%,2.40%,1759,2700.00%,1.53%,20,130718.95%,1759,27,1.53%
8,hire-2d-animation-expert,https://www.virtualemployee.com/ir/hire-2d-animation-expert/,Wasi,Sanjay,6738,38,0.56%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0.00%,,0,0.00%,,0,0.00%,,1,0.00%,0.00%,11,0.00%,0.00%,985,300.00%,0.30%,1333,1100.00%,0.83%,1077,400.00%,0.37%,724,400.00%,0.55%,845,400.00%,0.47%,881,400.00%,0.45%,4,88888.89%,881,4,0.45%
9,Hire Offshore Remote Staff (Mobile Version),https://www.virtualemployee.com/lp/hire-offshore-remote-staff-a/m/,Irfan,Mukhteshwar,10870,277,2.55%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,46,0,0.00%,0,0,,0,0,,1,0,0.00%,0,0,,1,0,0.00%,2,0,0.00%,0,0,,2,0,0.00%,0,0,,0,0,,1,0,0.00%,1,0,0.00%,1,0,0.00%,3,0,0.00%,0,0,,1,0,0.00%,0,0,,0,0,,0,0,,3,0,0.00%,4,0,0.00%,556,34,6.12%,416,14,3.37%,915,3600.00%,3.93%,2028,3700.00%,1.82%,688,1500.00%,2.18%,6,0.00%,0.00%,422,600.00%,1.42%,1731,3400.00%,1.96%,503,1300.00%,2.58%,968,2000.00%,2.07%,596,1600.00%,2.68%,550,1400.00%,2.55%,713,1200.00%,1.68%,14,83333.33%,713,12,1.68%
